Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
Contracts Awarded - Private Sector,14285.9,12482.5,12093.1,8873.2,14497.5,12239,8963.5,11010.5,13781.2,19537.4,20915.2,21236.7,20208.2,19018.1,8622.2,20202.6,18760,13054.2,7471.4,5712.8,4647.9,4844.3,6969.7,8054.4,6651.5,5973,12669.8,9653.5,8251.3,6648.5,4375.8,6770.8,4019.5,4337.5,2689.9,1586.5,1264.5,385.1,683.9,1493.5,4151,4539,2809.4
  Building Work,13490.4,10851.2,11640.3,8062.4,13229,11997.5,7905.9,9540.8,12119.1,18101.1,19488.3,18548.9,19600.3,18183.9,7830.7,19304,17856.4,12270.3,6751,4943.1,4480.9,4667,6737.9,7549,5912.3,5722.8,12540.6,9384.9,7892.7,6509.4,4311.8,6691.7,4004.6,4275.2,2655.1,1449.8,1255.4,380.9,683.9,1493.5,4151,4539,2809.4
    Residential,5401.1,3861,3888.3,2813,4976.7,5177,3007.4,3223.4,3959.1,6471.1,9585,8511.7,9066.3,8680.2,3925.3,6396.7,5551.2,4135,2589.2,2586.4,1910.3,2542,2974.6,3139.6,2114.7,2024,6850,3686.3,3933.8,3126.6,1811.5,1967.8,1147,1241,841.9,812.9,573,154.6,353.7,626.9,1305.1,1566.5,1222.5
    Commercial,3376,1537.2,2694.4,1258.7,1787.7,1364.2,1733.1,2862.7,1885.8,3703.2,3663.1,2888,4158.5,3059.3,1576.7,8311.9,5125.7,2304.9,902.2,1047.7,404.7,996.9,420,667.8,762.8,1011.1,1433.6,2002,1356.5,1468.1,999.1,3237,1714.7,1930.5,903.1,222.9,89.3,50.6,121.1,386.4,2231,2296,900.5
    Industrial,4077.1,4087,4055,2687.8,4837.4,4028.5,2504.3,2837.3,4533.7,6036.9,5178.1,6110.8,5737.7,3717,1831.2,3679.4,6775.6,5374.2,2748.2,983.9,1429.2,717.1,2815.4,3136.6,2458.1,2370.2,3645.9,3338.9,2277.3,1603.6,1205.1,1346.1,1024.4,766.8,728.6,338.5,503.9,124.1,152.4,413.2,542.8,624.7,583
    Institutional & Others,636.2,1366.1,1002.6,1302.8,1627.2,1427.8,661.1,617.4,1740.5,1890,1062.1,1038.5,637.7,2727.5,497.5,916,403.9,456.3,511.3,325.1,736.6,411,527.9,605.1,576.7,317.6,611,357.7,325.2,311.1,296.2,140.8,118.5,337,181.6,75.6,89.3,51.7,56.8,67.1,72.1,51.8,103.4
  Civil Engineering Work,795.5,1631.3,452.8,810.8,1268.5,241.5,1057.6,1469.7,1662.1,1436.3,1426.9,2687.8,607.9,834.3,791.5,898.6,903.6,783.9,720.4,769.7,167,177.3,231.8,505.4,739.2,250.2,129.2,268.6,358.5,139,64,79.1,14.9,62.3,34.8,136.7,9.1,4.2,0,0,0,0,0
Progress Payments Certified - Total Public & Private Sector,34939.8,30286.3,26155.4,19740,28299.8,26599.3,27911.2,35177.8,36402.2,35891.7,33681.8,31638.8,28861.4,27427.8,30893.5,26217.3,17871.7,12938.3,12220.9,11616.2,12218.7,13261.1,15879.5,16146.3,17249.3,19828.2,19235.6,15771.7,12145.6,11342,9555.4,8871.2,6819.8,4916.4,4314.3,3942,4677.8,5422,6647.3,8503.2,8193.1,6157.7,4171.8
  Building Work,26683.5,22443.4,18735.7,14394.6,20161.4,18886.1,20219,26512.7,28381.3,28812.1,27798.6,25447.2,22783.6,21412.8,24796.1,21480.2,14929.5,9992.9,9134.9,8962.8,9355.4,10152.8,11518.5,12600.1,13848.8,16510.4,16294,13596.7,10343.9,9469.2,8230.3,7345.5,5539.2,3950.1,3254.8,2685.2,2658.7,3412.8,5271,7309.7,7187.1,5181.8,3221
    Residential,10247.5,8767.6,6572.2,4621.8,6677.2,6617.8,7584.2,10890.2,13607.5,13811.1,12791.3,10942.8,9771.6,9518.2,8118.8,6872.9,4486.9,3418.9,3240.1,3376.4,3619.3,3942.3,4212.6,5160.5,6935.3,8760.3,8717.9,6989.8,4932.2,4530.4,4147.1,3106.7,2276.8,1673.3,1517.3,1409.1,1476.4,1835.6,2832.6,4125.7,3988.8,2330.4,1218.9
    Commercial,2742.8,2017.2,1515.3,1229.1,2187.7,2903.2,2878.7,3372.5,3278.3,3047.1,3220.6,3293.6,3608.3,4524.3,6043.9,3922.9,2198.4,1257.6,972.9,735.9,788,1008.8,1462.8,1587,1469.6,1977,1912.1,1774.7,1953.6,1977.3,1813.9,2010.7,1305.1,787.9,501.8,215.7,337.7,562.5,1171,1683,1608.8,1022.8,605.2
